"Open","High","Low","Close","Volume","Adjusted","date"
4.3,4.3,4.3,4.3,0,3.86808,"2013-10-03"
4.3,4.3,4.3,4.3,0,3.86808,"2013-10-04"
4.3,4.3,4.3,4.3,0,3.86808,"2013-10-07"
4.27,4.3,4.21,4.28,77736900,3.85009,"2013-10-08"
4.25,4.33,4.23,4.3,68029200,3.86808,"2013-10-09"
4.31,4.31,4.2,4.22,73969000,3.79611,"2013-10-10"
4.25,4.37,4.22,4.32,136890200,3.88607,"2013-10-11"
4.32,4.33,4.25,4.28,88580500,3.85009,"2013-10-14"
4.28,4.28,4.23,4.25,47455300,3.8231,"2013-10-15"
4.24,4.25,4.2,4.22,60907900,3.79611,"2013-10-16"
4.24,4.25,4.18,4.19,42504300,3.76913,"2013-10-17"
4.19,4.24,4.18,4.21,34843900,3.78712,"2013-10-18"
4.22,4.26,4.18,4.25,51320600,3.8231,"2013-10-21"
4.24,4.24,4.19,4.21,33992000,3.78712,"2013-10-22"
4.22,4.29,4.19,4.2,76549200,3.77812,"2013-10-23"
4.19,4.21,4.15,4.16,63212900,3.74214,"2013-10-24"
4.17,4.21,4.14,4.15,65366700,3.73315,"2013-10-25"
4.16,4.17,4.11,4.16,41611500,3.74214,"2013-10-28"
4.17,4.28,4.17,4.23,114035900,3.80511,"2013-10-29"
4.23,4.27,4.18,4.26,71394600,3.8321,"2013-10-30"
4.22,4.22,4.16,4.19,77430100,3.76913,"2013-10-31"
4.19,4.23,4.18,4.22,54462800,3.79611,"2013-11-01"
4.24,4.25,4.18,4.2,39245900,3.77812,"2013-11-04"
4.19,4.2,4.15,4.19,46775500,3.76913,"2013-11-05"
4.16,4.18,4.14,4.15,44484200,3.73315,"2013-11-06"
4.16,4.17,4.13,4.16,39708600,3.74214,"2013-11-07"
4.14,4.18,4.13,4.14,36287100,3.72415,"2013-11-08"
4.14,4.16,4.12,4.13,32393000,3.71515,"2013-11-11"
4.15,4.17,4.14,4.16,43252800,3.74214,"2013-11-12"
4.14,4.14,4.02,4.03,72473700,3.6252,"2013-11-13"
4.05,4.05,3.96,3.98,68949300,3.58022,"2013-11-14"
4,4.07,3.99,4.04,92351500,3.63419,"2013-11-15"
4.06,4.18,4.04,4.16,108672400,3.74214,"2013-11-18"
4.16,4.18,4.13,4.14,65615400,3.72415,"2013-11-19"
4.16,4.19,4.14,4.16,46128400,3.74214,"2013-11-20"
4.15,4.16,4.1,4.14,53210800,3.72415,"2013-11-21"
4.15,4.16,4.12,4.13,38758300,3.71515,"2013-11-22"
4.12,4.16,4.11,4.12,39223300,3.70616,"2013-11-25"
4.12,4.14,4.09,4.11,31497700,3.69716,"2013-11-26"
4.11,4.14,4.08,4.12,50964200,3.70616,"2013-11-27"
4.12,4.18,4.11,4.16,55101700,3.74214,"2013-11-28"
4.17,4.18,4.14,4.14,35187400,3.72415,"2013-11-29"
4.17,4.24,4.14,4.19,118384400,3.76913,"2013-12-02"
4.19,4.24,4.17,4.22,69548000,3.79611,"2013-12-03"
4.21,4.29,4.2,4.26,89297100,3.8321,"2013-12-04"
4.26,4.27,4.22,4.24,46360000,3.81411,"2013-12-05"
4.23,4.25,4.19,4.22,51801800,3.79611,"2013-12-06"
4.22,4.24,4.2,4.2,26095900,3.77812,"2013-12-09"
4.22,4.23,4.19,4.2,42966900,3.77812,"2013-12-10"
4.19,4.2,4.13,4.14,41372400,3.72415,"2013-12-11"
4.13,4.15,4.11,4.12,32602300,3.70616,"2013-12-12"
4.09,4.12,4.08,4.09,45631200,3.67917,"2013-12-13"
4.12,4.14,4.06,4.07,48584200,3.66118,"2013-12-16"
4.07,4.13,4.06,4.08,51348000,3.67018,"2013-12-17"
4.09,4.12,4.07,4.08,35682800,3.67018,"2013-12-18"
4.1,4.11,4.02,4.04,51498700,3.63419,"2013-12-19"
4.04,4.06,3.65,3.86,82661700,3.47228,"2013-12-20"
3.93,3.98,3.9,3.94,47384500,3.54424,"2013-12-23"
3.96,3.98,3.91,3.93,33875900,3.53524,"2013-12-24"
3.95,3.96,3.89,3.91,40420000,3.51725,"2013-12-25"
3.91,3.92,3.84,3.85,49026000,3.46328,"2013-12-26"
3.87,3.92,3.86,3.89,77578300,3.49926,"2013-12-27"
3.91,3.93,3.77,3.8,203907600,3.4183,"2013-12-30"
3.79,3.86,3.77,3.84,125516900,3.45428,"2013-12-31"
3.84,3.84,3.84,3.84,0,3.45428,"2014-01-01"
3.82,3.84,3.8,3.82,57317900,3.43629,"2014-01-02"
3.81,3.83,3.76,3.79,64039600,3.40931,"2014-01-03"
3.79,3.79,3.72,3.75,73494700,3.37332,"2014-01-06"
